ID,Context,FixFreq,BlockFreq
5121,( IfStatement|VariableDeclarationStatement|VariableDeclarationStatement|Assignment|ForStatement ),0,1
5122,( MethodInvocation|None|SuperMethodInvocation|None|None ),31,39
5123,( SuperMethodInvocation|MethodInvocation|None|None|None ),12,39
5124,( None|None|MethodInvocation|None|SuperMethodInvocation ),8,70
5125,( None|MethodInvocation|SuperMethodInvocation|None|None ),12,39
5126,( None|SuperMethodInvocation|None|MethodInvocation|None ),13,93
5127,( IfStatement|SwitchStatement|IfStatement|MethodInvocation|Assignment ),2,2
5128,( IfStatement|IfStatement|Assignment|SwitchStatement|BreakStatement ),2,2
5129,( Assignment|IfStatement|BreakStatement|VariableDeclarationStatement|SwitchCase ),1,1
5130,( VariableDeclarationStatement|None|DoStatement|None|None ),1,1
5131,( DoStatement|VariableDeclarationStatement|None|None|None ),1,1
5132,( Assignment|IfStatement|BreakStatement|IfStatement|SwitchCase ),4,4
5133,( None|VariableDeclarationStatement|DoStatement|None|None ),0,1
5134,( None|SwitchCase|None|SwitchCase|None ),16,20
5135,( None|None|WhileStatement|None|IfStatement ),1,7
5136,( WhileStatement|None|IfStatement|None|ReturnStatement ),0,1
5137,( IfStatement|WhileStatement|ReturnStatement|None|None ),0,1
5138,( None|WhileStatement|IfStatement|None|ReturnStatement ),0,1
5139,( MethodInvocation|VariableDeclarationStatement|VariableDeclarationStatement|None|WhileStatement ),6,11
5140,( Assignment|VariableDeclarationStatement|WhileStatement|None|None ),2,1
5141,( None|Assignment|WhileStatement|VariableDeclarationStatement|None ),1,7
5142,( Assignment|Assignment|Assignment|VariableDeclarationStatement|DoStatement ),1,1
5143,( IfStatement|IfStatement|IfStatement|None|DoStatement ),1,1
5144,( Assignment|Assignment|DoStatement|Assignment|IfStatement ),0,1
5145,( None|Assignment|Assignment|Assignment|DoStatement ),0,1
5146,( DoStatement|Assignment|IfStatement|Assignment|None ),0,1
5147,( None|Assignment|DoStatement|Assignment|IfStatement ),0,1
5148,( IfStatement|DoStatement|None|Assignment|None ),0,1
5149,( None|DoStatement|IfStatement|Assignment|None ),0,1
5150,( IfStatement|IfStatement|DoStatement|IfStatement|None ),0,1
5151,( None|IfStatement|IfStatement|IfStatement|DoStatement ),0,1
5152,( DoStatement|IfStatement|None|IfStatement|None ),0,1
5153,( None|IfStatement|DoStatement|IfStatement|None ),0,1
5154,( None|DoStatement|None|IfStatement|None ),0,1
5155,( VariableDeclarationStatement|None|Assignment|None|WhileStatement ),8,7
5156,( None|VariableDeclarationStatement|Assignment|None|WhileStatement ),0,7
5157,( WhileStatement|Assignment|None|VariableDeclarationStatement|None ),4,7
5158,( WhileStatement|VariableDeclarationStatement|IfStatement|IfStatement|ReturnStatement ),1,4
5159,( MethodInvocation|VariableDeclarationStatement|MethodInvocation|None|ForStatement ),3,8
5160,( MethodInvocation|MethodInvocation|ForStatement|VariableDeclarationStatement|None ),1,3
5161,( None|MethodInvocation|MethodInvocation|VariableDeclarationStatement|ForStatement ),5,37
5162,( VariableDeclarationStatement|VariableDeclarationStatement|WhileStatement|None|IfStatement ),19,45
5163,( BreakStatement|MethodInvocation|None|None|None ),13,35
5164,( WhileStatement|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|Assignment ),0,4
5165,( IfStatement|WhileStatement|Assignment|VariableDeclarationStatement|None ),1,5
5166,( None|WhileStatement|IfStatement|VariableDeclarationStatement|Assignment ),0,7
5167,( Assignment|IfStatement|None|WhileStatement|None ),1,6
5168,( None|IfStatement|Assignment|WhileStatement|None ),0,6
5169,( None|SwitchCase|SwitchCase|None|None ),1,1
5170,( MethodInvocation|MethodInvocation|Assignment|VariableDeclarationStatement|None ),7,44
5171,( MethodInvocation|IfStatement|VariableDeclarationStatement|ForStatement|IfStatement ),0,2
5172,( MethodInvocation|None|MethodInvocation|None|ReturnStatement ),64,121
5173,( MethodInvocation|MethodInvocation|ReturnStatement|None|None ),79,118
5174,( None|MethodInvocation|MethodInvocation|None|ReturnStatement ),30,118
5175,( MethodInvocation|MethodInvocation|MethodInvocation|ForStatement|MethodInvocation ),4,40
5176,( VariableDeclarationStatement|MethodInvocation|IfStatement|MethodInvocation|ReturnStatement ),11,26
5177,( IfStatement|MethodInvocation|MethodInvocation|MethodInvocation|ReturnStatement ),3,17
5178,( MethodInvocation|IfStatement|ReturnStatement|MethodInvocation|None ),6,50
5179,( None|IfStatement|MethodInvocation|MethodInvocation|ReturnStatement ),3,50
5180,( VariableDeclarationStatement|VariableDeclarationStatement|MethodInvocation|IfStatement|ForStatement ),3,7
5181,( ForStatement|VariableDeclarationStatement|IfStatement|None|ReturnStatement ),0,1
5182,( IfStatement|VariableDeclarationStatement|MethodInvocation|MethodInvocation|ReturnStatement ),10,26
5183,( MethodInvocation|IfStatement|Assignment|VariableDeclarationStatement|IfStatement ),2,32
5184,( Assignment|MethodInvocation|IfStatement|IfStatement|ReturnStatement ),0,5
5185,( None|MethodInvocation|Assignment|IfStatement|IfStatement ),1,101
5186,( IfStatement|Assignment|ReturnStatement|MethodInvocation|None ),2,12
5187,( None|Assignment|IfStatement|MethodInvocation|ReturnStatement ),0,12
5188,( Assignment|VariableDeclarationStatement|TryStatement|VariableDeclarationStatement|IfStatement ),0,1
5189,( TryStatement|Assignment|IfStatement|VariableDeclarationStatement|VariableDeclarationStatement ),0,1
5190,( None|Assignment|TryStatement|VariableDeclarationStatement|IfStatement ),0,1
5191,( IfStatement|TryStatement|VariableDeclarationStatement|Assignment|MethodInvocation ),0,3
5192,( None|TryStatement|IfStatement|Assignment|VariableDeclarationStatement ),0,3
5193,( VariableDeclarationStatement|IfStatement|MethodInvocation|TryStatement|ReturnStatement ),0,1
5194,( None|IfStatement|VariableDeclarationStatement|TryStatement|MethodInvocation ),0,14
5195,( TryStatement|VariableDeclarationStatement|MethodInvocation|VariableDeclarationStatement|ReturnStatement ),1,7
5196,( MethodInvocation|SwitchStatement|None|None|None ),2,2
5197,( SwitchStatement|None|MethodInvocation|None|None ),0,2
5198,( None|None|SwitchStatement|None|MethodInvocation ),0,2
5199,( None|SwitchStatement|MethodInvocation|None|None ),0,2
5200,( ForStatement|IfStatement|MethodInvocation|VariableDeclarationStatement|MethodInvocation ),1,3
5201,( MethodInvocation|ForStatement|MethodInvocation|IfStatement|SynchronizedStatement ),2,1
5202,( MethodInvocation|MethodInvocation|SynchronizedStatement|ForStatement|IfStatement ),0,1
5203,( None|MethodInvocation|MethodInvocation|ForStatement|SynchronizedStatement ),0,3
5204,( SynchronizedStatement|MethodInvocation|IfStatement|MethodInvocation|None ),0,2
5205,( IfStatement|VariableDeclarationStatement|Assignment|None|VariableDeclarationStatement ),7,31
5206,( VariableDeclarationStatement|Assignment|ForStatement|IfStatement|None ),0,1
5207,( ForStatement|ForStatement|VariableDeclarationStatement|VariableDeclarationStatement|ForStatement ),0,6
5208,( VariableDeclarationStatement|ForStatement|ForStatement|ForStatement|ReturnStatement ),0,6
5209,( MethodInvocation|VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement|ForStatement ),3,8
5210,( IfStatement|Assignment|ReturnStatement|ForStatement|None ),1,2
5211,( Assignment|ForStatement|IfStatement|VariableDeclarationStatement|ReturnStatement ),0,1
5212,( None|Assignment|IfStatement|ForStatement|ReturnStatement ),0,2
5213,( VariableDeclarationStatement|MethodInvocation|ForStatement|None|IfStatement ),1,2
5214,( ForStatement|VariableDeclarationStatement|IfStatement|MethodInvocation|ForStatement ),2,2
5215,( ForStatement|ForStatement|VariableDeclarationStatement|IfStatement|ForStatement ),1,1
5216,( None|VariableDeclarationStatement|ForStatement|MethodInvocation|IfStatement ),1,19
5217,( IfStatement|ForStatement|ForStatement|VariableDeclarationStatement|ForStatement ),0,4
5218,( None|ForStatement|IfStatement|VariableDeclarationStatement|ForStatement ),0,10
5219,( ForStatement|IfStatement|ForStatement|ForStatement|VariableDeclarationStatement ),0,1
5220,( None|IfStatement|ForStatement|ForStatement|ForStatement ),0,4
5221,( None|ForStatement|ForStatement|IfStatement|VariableDeclarationStatement ),0,1
5222,( IfStatement|Assignment|IfStatement|Assignment|VariableDeclarationStatement ),1,11
5223,( TryStatement|None|Assignment|None|Assignment ),1,4
5224,( Assignment|TryStatement|Assignment|None|Assignment ),0,1
5225,( None|TryStatement|Assignment|None|Assignment ),0,4
5226,( Assignment|Assignment|Assignment|TryStatement|IfStatement ),0,1
5227,( TryStatement|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|ThrowStatement ),0,1
5228,( IfStatement|TryStatement|ThrowStatement|VariableDeclarationStatement|None ),0,2
5229,( None|TryStatement|IfStatement|VariableDeclarationStatement|ThrowStatement ),0,2
5230,( ThrowStatement|IfStatement|None|TryStatement|None ),0,3
5231,( None|IfStatement|ThrowStatement|TryStatement|None ),0,3
5232,( VariableDeclarationStatement|IfStatement|MethodInvocation|VariableDeclarationStatement|WhileStatement ),2,2
5233,( MethodInvocation|VariableDeclarationStatement|WhileStatement|IfStatement|None ),1,3
5234,( None|VariableDeclarationStatement|MethodInvocation|IfStatement|WhileStatement ),0,4
5235,( WhileStatement|MethodInvocation|None|VariableDeclarationStatement|None ),6,6
5236,( None|MethodInvocation|WhileStatement|VariableDeclarationStatement|None ),2,6
5237,( IfStatement|VariableDeclarationStatement|Assignment|IfStatement|MethodInvocation ),2,17
5238,( MethodInvocation|MethodInvocation|IfStatement|Assignment|IfStatement ),0,14
5239,( IfStatement|IfStatement|IfStatement|VariableDeclarationStatement|ReturnStatement ),44,151
5240,( MethodInvocation|MethodInvocation|Assignment|Assignment|Assignment ),9,31
5241,( VariableDeclarationStatement|Assignment|ForStatement|Assignment|MethodInvocation ),1,3
5242,( ForStatement|VariableDeclarationStatement|MethodInvocation|Assignment|MethodInvocation ),5,8
5243,( None|VariableDeclarationStatement|ForStatement|Assignment|MethodInvocation ),0,13
5244,( MethodInvocation|MethodInvocation|MethodInvocation|ForStatement|None ),4,18
5245,( Assignment|VariableDeclarationStatement|VariableDeclarationStatement|MethodInvocation|IfStatement ),4,9
5246,( MethodInvocation|VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement|Assignment ),2,17
5247,( VariableDeclarationStatement|MethodInvocation|Assignment|VariableDeclarationStatement|VariableDeclarationStatement ),3,17
5248,( IfStatement|VariableDeclarationStatement|MethodInvocation|Assignment|None ),7,80
5249,( IfStatement|IfStatement|Assignment|VariableDeclarationStatement|ReturnStatement ),2,10
5250,( Assignment|IfStatement|ReturnStatement|IfStatement|None ),3,20
5251,( None|IfStatement|Assignment|IfStatement|ReturnStatement ),2,20
5252,( IfStatement|Assignment|Assignment|Assignment|ReturnStatement ),0,2
5253,( SynchronizedStatement|IfStatement|None|SynchronizedStatement|None ),1,2
5254,( IfStatement|SynchronizedStatement|SynchronizedStatement|VariableDeclarationStatement|None ),6,2
5255,( SynchronizedStatement|VariableDeclarationStatement|IfStatement|None|SynchronizedStatement ),0,1
5256,( None|SynchronizedStatement|IfStatement|VariableDeclarationStatement|SynchronizedStatement ),5,4
5257,( None|IfStatement|SynchronizedStatement|SynchronizedStatement|None ),0,2
5258,( Assignment|MethodInvocation|VariableDeclarationStatement|Assignment|VariableDeclarationStatement ),2,10
5259,( None|WhileStatement|VariableDeclarationStatement|None|Assignment ),1,3
5260,( MethodInvocation|Assignment|Assignment|None|VariableDeclarationStatement ),1,4
5261,( VariableDeclarationStatement|PostfixExpression|VariableDeclarationStatement|None|ForStatement ),0,1
5262,( VariableDeclarationStatement|VariableDeclarationStatement|ForStatement|PostfixExpression|VariableDeclarationStatement ),0,1
5263,( None|VariableDeclarationStatement|VariableDeclarationStatement|PostfixExpression|ForStatement ),0,1
5264,( ForStatement|VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement|MethodInvocation ),1,36
5265,( Assignment|IfStatement|ForStatement|VariableDeclarationStatement|None ),1,5
5266,( ForStatement|Assignment|None|IfStatement|None ),9,9
5267,( None|Assignment|ForStatement|IfStatement|None ),0,9
5268,( WhileStatement|None|VariableDeclarationStatement|None|Assignment ),0,3
5269,( None|None|WhileStatement|None|VariableDeclarationStatement ),0,12
5270,( VariableDeclarationStatement|WhileStatement|Assignment|None|Assignment ),0,1
5271,( Assignment|VariableDeclarationStatement|Assignment|WhileStatement|VariableDeclarationStatement ),1,2
5272,( IfStatement|IfStatement|Assignment|IfStatement|IfStatement ),3,22
5273,( Assignment|IfStatement|IfStatement|IfStatement|IfStatement ),6,33
5274,( IfStatement|Assignment|IfStatement|IfStatement|Assignment ),2,17
5275,( IfStatement|IfStatement|Assignment|Assignment|IfStatement ),4,24
5276,( None|IfStatement|IfStatement|Assignment|Assignment ),5,73
5277,( MethodInvocation|VariableDeclarationStatement|VariableDeclarationStatement|TryStatement|ThrowStatement ),1,1
5278,( VariableDeclarationStatement|MethodInvocation|ThrowStatement|VariableDeclarationStatement|None ),1,1
5279,( ThrowStatement|VariableDeclarationStatement|None|MethodInvocation|None ),1,1
5280,( None|VariableDeclarationStatement|MethodInvocation|TryStatement|VariableDeclarationStatement ),2,24
5281,( VariableDeclarationStatement|TryStatement|MethodInvocation|VariableDeclarationStatement|VariableDeclarationStatement ),3,8
5282,( MethodInvocation|VariableDeclarationStatement|VariableDeclarationStatement|MethodInvocation|Assignment ),1,5
5283,( TryStatement|VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement|MethodInvocation ),1,19
5284,( None|TryStatement|VariableDeclarationStatement|VariableDeclarationStatement|MethodInvocation ),19,48
5285,( None|MethodInvocation|VariableDeclarationStatement|VariableDeclarationStatement|ThrowStatement ),0,1
5286,( None|VariableDeclarationStatement|ThrowStatement|MethodInvocation|None ),0,1
5287,( IfStatement|TryStatement|Assignment|VariableDeclarationStatement|None ),1,4
5288,( TryStatement|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|Assignment ),1,5
5289,( Assignment|IfStatement|None|TryStatement|None ),0,8
5290,( None|IfStatement|Assignment|TryStatement|None ),0,8
5291,( VariableDeclarationStatement|None|TryStatement|None|MethodInvocation ),19,38
5292,( TryStatement|VariableDeclarationStatement|MethodInvocation|None|MethodInvocation ),4,10
5293,( None|VariableDeclarationStatement|TryStatement|None|MethodInvocation ),9,38
5294,( MethodInvocation|TryStatement|MethodInvocation|VariableDeclarationStatement|Assignment ),1,2
5295,( MethodInvocation|MethodInvocation|Assignment|TryStatement|MethodInvocation ),0,1
5296,( None|MethodInvocation|MethodInvocation|TryStatement|Assignment ),0,2
5297,( IfStatement|VariableDeclarationStatement|MethodInvocation|MethodInvocation|Assignment ),0,8
5298,( Assignment|MethodInvocation|MethodInvocation|IfStatement|Assignment ),0,10
5299,( VariableDeclarationStatement|Assignment|MethodInvocation|MethodInvocation|MethodInvocation ),0,29
5300,( MethodInvocation|VariableDeclarationStatement|MethodInvocation|Assignment|None ),15,29
5301,( None|IfStatement|Assignment|VariableDeclarationStatement|EnhancedForStatement ),1,5
5302,( None|Assignment|EnhancedForStatement|IfStatement|MethodInvocation ),1,1
5303,( MethodInvocation|VariableDeclarationStatement|EnhancedForStatement|None|None ),6,8
5304,( IfStatement|VariableDeclarationStatement|Assignment|IfStatement|EnhancedForStatement ),0,1
5305,( Assignment|IfStatement|EnhancedForStatement|VariableDeclarationStatement|MethodInvocation ),0,1
5306,( EnhancedForStatement|Assignment|MethodInvocation|IfStatement|ReturnStatement ),0,1
5307,( MethodInvocation|EnhancedForStatement|ReturnStatement|Assignment|None ),0,1
5308,( None|EnhancedForStatement|MethodInvocation|Assignment|ReturnStatement ),0,1
5309,( IfStatement|VariableDeclarationStatement|MethodInvocation|MethodInvocation|None ),11,86
5310,( Assignment|VariableDeclarationStatement|MethodInvocation|IfStatement|None ),8,13
5311,( MethodInvocation|Assignment|None|VariableDeclarationStatement|None ),68,166
5312,( None|Assignment|MethodInvocation|VariableDeclarationStatement|None ),68,162
5313,( VariableDeclarationStatement|Assignment|Assignment|None|MethodInvocation ),0,7
5314,( VariableDeclarationStatement|Assignment|Assignment|MethodInvocation|MethodInvocation ),0,7
5315,( VariableDeclarationStatement|Assignment|Assignment|MethodInvocation|Assignment ),1,5
5316,( Assignment|Assignment|MethodInvocation|VariableDeclarationStatement|MethodInvocation ),2,39
5317,( VariableDeclarationStatement|MethodInvocation|VariableDeclarationStatement|MethodInvocation|TryStatement ),11,23
5318,( MethodInvocation|ForStatement|None|Assignment|None ),8,16
5319,( VariableDeclarationStatement|MethodInvocation|TryStatement|None|None ),11,25
5320,( IfStatement|IfStatement|VariableDeclarationStatement|VariableDeclarationStatement|MethodInvocation ),16,103
5321,( VariableDeclarationStatement|VariableDeclarationStatement|TryStatement|MethodInvocation|None ),6,28
5322,( TryStatement|VariableDeclarationStatement|IfStatement|None|None ),9,23
5323,( Assignment|MethodInvocation|ForStatement|MethodInvocation|MethodInvocation ),0,5
5324,( ForStatement|Assignment|MethodInvocation|MethodInvocation|None ),2,7
5325,( None|ForStatement|MethodInvocation|Assignment|None ),1,16
5326,( VariableDeclarationStatement|TryStatement|IfStatement|VariableDeclarationStatement|VariableDeclarationStatement ),4,32
5327,( SynchronizedStatement|SwitchStatement|None|IfStatement|None ),2,1
5328,( IfStatement|IfStatement|MethodInvocation|IfStatement|None ),20,88
5329,( Assignment|MethodInvocation|IfStatement|Assignment|IfStatement ),0,14
5330,( IfStatement|Assignment|IfStatement|MethodInvocation|None ),0,14
5331,( None|Assignment|IfStatement|MethodInvocation|IfStatement ),5,103
5332,( IfStatement|None|SwitchStatement|None|SynchronizedStatement ),0,1
5333,( SwitchStatement|IfStatement|SynchronizedStatement|None|None ),0,1
5334,( None|IfStatement|SwitchStatement|None|SynchronizedStatement ),0,1
5335,( None|SwitchStatement|SynchronizedStatement|IfStatement|None ),0,1
5336,( None|SynchronizedStatement|None|SwitchStatement|None ),0,1
5337,( VariableDeclarationStatement|TryStatement|IfStatement|VariableDeclarationStatement|MethodInvocation ),10,6
5338,( IfStatement|VariableDeclarationStatement|MethodInvocation|TryStatement|ReturnStatement ),1,3
5339,( None|VariableDeclarationStatement|IfStatement|TryStatement|MethodInvocation ),0,12
5340,( VariableDeclarationStatement|MethodInvocation|MethodInvocation|MethodInvocation|ThrowStatement ),11,5
5341,( MethodInvocation|VariableDeclarationStatement|ThrowStatement|MethodInvocation|None ),0,7
5342,( None|VariableDeclarationStatement|MethodInvocation|MethodInvocation|ThrowStatement ),0,7
5343,( IfStatement|IfStatement|IfStatement|IfStatement|TryStatement ),2,16
5344,( IfStatement|IfStatement|TryStatement|IfStatement|MethodInvocation ),0,8
5345,( None|IfStatement|IfStatement|IfStatement|TryStatement ),1,27
5346,( TryStatement|IfStatement|MethodInvocation|IfStatement|IfStatement ),0,10
5347,( None|IfStatement|TryStatement|IfStatement|MethodInvocation ),0,17
5348,( MethodInvocation|TryStatement|IfStatement|IfStatement|IfStatement ),0,4
5349,( None|TryStatement|MethodInvocation|IfStatement|IfStatement ),0,13
5350,( IfStatement|MethodInvocation|IfStatement|TryStatement|IfStatement ),0,3
5351,( ReturnStatement|None|ReturnStatement|None|None ),13,13
5352,( MethodInvocation|IfStatement|None|SuperConstructorInvocation|None ),3,3
5353,( SuperConstructorInvocation|None|IfStatement|None|MethodInvocation ),1,7
5354,( IfStatement|SuperConstructorInvocation|MethodInvocation|None|None ),2,3
5355,( None|SuperConstructorInvocation|IfStatement|None|MethodInvocation ),0,7
5356,( None|IfStatement|MethodInvocation|SuperConstructorInvocation|None ),0,3
5357,( Assignment|Assignment|IfStatement|VariableDeclarationStatement|None ),4,10
5358,( Assignment|Assignment|IfStatement|Assignment|MethodInvocation ),7,22
5359,( IfStatement|Assignment|MethodInvocation|Assignment|Assignment ),0,18
5360,( Assignment|VariableDeclarationStatement|VariableDeclarationStatement|None|MethodInvocation ),4,13
5361,( Assignment|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|Assignment ),7,18
5362,( IfStatement|Assignment|Assignment|VariableDeclarationStatement|Assignment ),2,23
5363,( Assignment|IfStatement|Assignment|Assignment|IfStatement ),6,41
5364,( VariableDeclarationStatement|Assignment|IfStatement|Assignment|IfStatement ),5,29
5365,( IfStatement|VariableDeclarationStatement|IfStatement|Assignment|MethodInvocation ),1,10
5366,( IfStatement|IfStatement|MethodInvocation|VariableDeclarationStatement|None ),14,78
5367,( Assignment|MethodInvocation|MethodInvocation|VariableDeclarationStatement|ReturnStatement ),0,1
5368,( MethodInvocation|Assignment|ReturnStatement|MethodInvocation|None ),5,12
5369,( None|Assignment|MethodInvocation|MethodInvocation|ReturnStatement ),1,12
5370,( IfStatement|IfStatement|MethodInvocation|Assignment|VariableDeclarationStatement ),1,1
5371,( VariableDeclarationStatement|MethodInvocation|MethodInvocation|IfStatement|None ),3,10
5372,( TryStatement|Assignment|MethodInvocation|None|ReturnStatement ),0,1
5373,( MethodInvocation|TryStatement|ReturnStatement|Assignment|None ),2,3
5374,( None|TryStatement|MethodInvocation|Assignment|ReturnStatement ),1,3
5375,( IfStatement|Assignment|IfStatement|None|MethodInvocation ),1,6
5376,( MethodInvocation|IfStatement|VariableDeclarationStatement|IfStatement|MethodInvocation ),17,49
5377,( MethodInvocation|VariableDeclarationStatement|None|MethodInvocation|None ),84,291
5378,( None|VariableDeclarationStatement|MethodInvocation|MethodInvocation|None ),20,291
5379,( None|None|SynchronizedStatement|None|ReturnStatement ),2,14
5380,( SynchronizedStatement|None|ReturnStatement|None|None ),9,14
5381,( ReturnStatement|SynchronizedStatement|None|None|None ),7,14
5382,( None|SynchronizedStatement|ReturnStatement|None|None ),0,14
5383,( VariableDeclarationStatement|SynchronizedStatement|TryStatement|None|Assignment ),1,1
5384,( SynchronizedStatement|None|VariableDeclarationStatement|None|TryStatement ),0,1
5385,( None|SynchronizedStatement|VariableDeclarationStatement|None|TryStatement ),0,1
5386,( TryStatement|VariableDeclarationStatement|Assignment|SynchronizedStatement|ReturnStatement ),0,1
5387,( None|VariableDeclarationStatement|TryStatement|SynchronizedStatement|Assignment ),0,1
5388,( Assignment|TryStatement|ReturnStatement|VariableDeclarationStatement|None ),1,9
5389,( None|TryStatement|Assignment|VariableDeclarationStatement|ReturnStatement ),0,9
5390,( ReturnStatement|Assignment|None|TryStatement|None ),2,13
5391,( None|Assignment|ReturnStatement|TryStatement|None ),0,13
5392,( IfStatement|Assignment|IfStatement|Assignment|Assignment ),1,15
5393,( IfStatement|IfStatement|Assignment|Assignment|Assignment ),1,15
5394,( Assignment|VariableDeclarationStatement|MethodInvocation|Assignment|IfStatement ),2,4
5395,( MethodInvocation|Assignment|IfStatement|VariableDeclarationStatement|IfStatement ),1,3
5396,( None|Assignment|MethodInvocation|VariableDeclarationStatement|IfStatement ),1,59
5397,( IfStatement|MethodInvocation|IfStatement|Assignment|VariableDeclarationStatement ),0,4
5398,( None|MethodInvocation|IfStatement|Assignment|IfStatement ),1,44
5399,( Assignment|IfStatement|TryStatement|VariableDeclarationStatement|IfStatement ),0,1
5400,( TryStatement|Assignment|IfStatement|IfStatement|Assignment ),0,1
5401,( None|Assignment|TryStatement|IfStatement|IfStatement ),0,1
5402,( IfStatement|TryStatement|Assignment|Assignment|None ),0,1
5403,( None|TryStatement|IfStatement|Assignment|Assignment ),0,3
5404,( TryStatement|VariableDeclarationStatement|MethodInvocation|None|IfStatement ),0,2
5405,( MethodInvocation|TryStatement|IfStatement|VariableDeclarationStatement|Assignment ),0,1
5406,( IfStatement|MethodInvocation|Assignment|TryStatement|MethodInvocation ),1,2
5407,( None|MethodInvocation|IfStatement|TryStatement|Assignment ),0,3
5408,( MethodInvocation|Assignment|Assignment|Assignment|Assignment ),4,40
5409,( Assignment|MethodInvocation|Assignment|Assignment|MethodInvocation ),3,19
5410,( Assignment|Assignment|MethodInvocation|MethodInvocation|None ),9,22
5411,( Assignment|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|ReturnStatement ),3,7
5412,( MethodInvocation|IfStatement|MethodInvocation|VariableDeclarationStatement|Assignment ),1,7
5413,( IfStatement|Assignment|ReturnStatement|VariableDeclarationStatement|None ),5,15
5414,( None|Assignment|IfStatement|VariableDeclarationStatement|ReturnStatement ),1,15
5415,( IfStatement|IfStatement|MethodInvocation|Assignment|IfStatement ),6,17
5416,( MethodInvocation|IfStatement|IfStatement|IfStatement|Assignment ),1,9
5417,( IfStatement|MethodInvocation|Assignment|IfStatement|VariableDeclarationStatement ),1,3
5418,( Assignment|IfStatement|VariableDeclarationStatement|MethodInvocation|IfStatement ),0,7
5419,( None|IfStatement|Assignment|MethodInvocation|VariableDeclarationStatement ),0,20
5420,( MethodInvocation|TryStatement|IfStatement|IfStatement|MethodInvocation ),0,6
5421,( IfStatement|MethodInvocation|MethodInvocation|TryStatement|VariableDeclarationStatement ),0,4
5422,( None|MethodInvocation|IfStatement|TryStatement|MethodInvocation ),0,11
5423,( SynchronizedStatement|None|MethodInvocation|None|MethodInvocation ),1,5
5424,( MethodInvocation|SynchronizedStatement|MethodInvocation|None|IfStatement ),0,3
5425,( None|SynchronizedStatement|MethodInvocation|None|MethodInvocation ),3,5
5426,( MethodInvocation|MethodInvocation|IfStatement|SynchronizedStatement|MethodInvocation ),1,4
5427,( None|MethodInvocation|MethodInvocation|SynchronizedStatement|IfStatement ),0,4
5428,( IfStatement|MethodInvocation|MethodInvocation|MethodInvocation|ForStatement ),0,3
5429,( MethodInvocation|IfStatement|ForStatement|MethodInvocation|MethodInvocation ),0,4
5430,( None|IfStatement|MethodInvocation|MethodInvocation|ForStatement ),0,4
5431,( ForStatement|MethodInvocation|MethodInvocation|IfStatement|MethodInvocation ),0,5
5432,( None|MethodInvocation|ForStatement|IfStatement|MethodInvocation ),0,15
5433,( MethodInvocation|ForStatement|MethodInvocation|MethodInvocation|MethodInvocation ),1,31
5434,( None|ForStatement|MethodInvocation|MethodInvocation|MethodInvocation ),7,58
5435,( TryStatement|VariableDeclarationStatement|VariableDeclarationStatement|None|ReturnStatement ),1,2
5436,( VariableDeclarationStatement|VariableDeclarationStatement|TryStatement|None|MethodInvocation ),2,13
5437,( TryStatement|VariableDeclarationStatement|MethodInvocation|VariableDeclarationStatement|Assignment ),0,2
5438,( MethodInvocation|TryStatement|Assignment|VariableDeclarationStatement|IfStatement ),0,1
5439,( None|TryStatement|MethodInvocation|VariableDeclarationStatement|Assignment ),0,3
5440,( Assignment|MethodInvocation|IfStatement|TryStatement|Assignment ),0,1
5441,( None|MethodInvocation|Assignment|TryStatement|IfStatement ),0,1
5442,( Assignment|Assignment|MethodInvocation|SynchronizedStatement|None ),1,1
5443,( MethodInvocation|SynchronizedStatement|Assignment|None|Assignment ),1,1
5444,( MethodInvocation|IfStatement|ThrowStatement|IfStatement|None ),1,1
5445,( SynchronizedStatement|None|Assignment|None|Assignment ),0,1
5446,( None|None|SynchronizedStatement|None|Assignment ),0,3
5447,( Assignment|SynchronizedStatement|Assignment|None|MethodInvocation ),0,1
5448,( None|SynchronizedStatement|Assignment|None|Assignment ),0,1
5449,( None|Assignment|Assignment|SynchronizedStatement|MethodInvocation ),0,1
5450,( SynchronizedStatement|None|MethodInvocation|None|Assignment ),0,1
5451,( None|SynchronizedStatement|MethodInvocation|None|Assignment ),0,1
5452,( Assignment|MethodInvocation|Assignment|SynchronizedStatement|MethodInvocation ),0,1
5453,( None|MethodInvocation|Assignment|SynchronizedStatement|Assignment ),0,1
5454,( IfStatement|IfStatement|IfStatement|None|MethodInvocation ),67,65
5455,( IfStatement|IfStatement|MethodInvocation|IfStatement|ThrowStatement ),0,1
5456,( None|IfStatement|MethodInvocation|IfStatement|ThrowStatement ),0,1
5457,( ThrowStatement|MethodInvocation|None|IfStatement|None ),0,8
5458,( None|MethodInvocation|ThrowStatement|IfStatement|None ),0,8
